Sample_ID,Farm_type,AF_ppb_bulk,AF_ppb_accept,AF_ppb_reject,AF_ppb_accept_log,AF_ppb_reject_log
MM-02,M.M. Unity Farms,,8.79,15.37,0.94,1.19
GN-03,Gye Nyame Farms,,5.07,14.56,0.71,1.16
MM-05,M.M. Unity Farms,,8.66,14.46,0.94,1.16
MM-06,M.M. Unity Farms,,9.05,14.45,0.96,1.16
GN-02,Gye Nyame Farms,,6.75,14.28,0.83,1.15
KA-07,K.A .Farms,,5.29,14.06,0.72,1.15
MM-07,M.M. Unity Farms,,8.66,13.97,0.94,1.15
MM-04,M.M. Unity Farms,,7.33,13.78,0.87,1.14
KA-06,K.A .Farms,,7.29,13.75,0.86,1.14
AM-03,AM Unity Farms,,4.45,13.5,0.65,1.13
MM-03,M.M. Unity Farms,,6.28,13.33,0.80,1.12
AM-08,AM Unity Farms,,7.21,13.26,0.86,1.12
AM-09,AM Unity Farms,,4.45,13.25,0.65,1.12
GN-07,Gye Nyame Farms,,6.39,13.21,0.81,1.12
AM-04,AM Unity Farms,,5.05,13.14,0.70,1.12
KA-03,K.A .Farms,,7.25,13,0.86,1.11
AM-02,AM Unity Farms,,4.08,12.45,0.61,1.10
KA-08,K.A .Farms,,6.78,12.35,0.83,1.09
GN-08,Gye Nyame Farms,,5.21,12.25,0.72,1.09
FB-02,Faustban Farms,,8.09,12.2,0.91,1.09
KA-09,K.A .Farms,,5.87,12.13,0.77,1.08
MM-08,M.M. Unity Farms,,7.34,12.12,0.87,1.08
KA-04,K.A .Farms,,5.88,12.06,0.77,1.08
GN-05,Gye Nyame Farms,,6.21,12.01,0.79,1.08
KA-05,K.A .Farms,,7.35,11.49,0.87,1.06
GN-06,Gye Nyame Farms,,5.75,11.45,0.76,1.06
MM-09,M.M. Unity Farms,,8.08,11.36,0.91,1.06
GN-04,Gye Nyame Farms,,4.09,11.27,0.61,1.05
GN-09,Gye Nyame Farms,,4.26,11.24,0.63,1.05
FB-03,Faustban Farms,,5.24,11.24,0.72,1.05
FB-06,Faustban Farms,,8.26,11.24,0.92,1.05
FB-01,Faustban Farms,,7.22,11.21,0.86,1.05
AM-07,AM Unity Farms,,6.22,10.77,0.79,1.03
FB-04,Faustban Farms,,7.71,10.29,0.89,1.01
FB-07,Faustban Farms,,7.89,10.26,0.90,1.01
AM-06,AM Unity Farms,,3.21,10.24,0.51,1.01
FB-08,Faustban Farms,,8.42,10.24,0.93,1.01
KA-02,K.A .Farms,,5.26,10.05,0.72,1.00
AM-05,AM Unity Farms,,6.43,9.97,0.81,1.00
AM-01,AM Unity Farms,,3.25,9.45,0.51,0.98
FB-09,Faustban Farms,,8.25,9.45,0.92,0.98
FB-05,Faustban Farms,,10.15,9.25,1.01,0.97
MM-01,M.M. Unity Farms,,3.05,8.22,0.48,0.91
GN-01,Gye Nyame Farms,,5.21,7.94,0.72,0.90
KA-01,K.A .Farms,,2.25,5.11,0.35,0.71
