,Sample ID,Sample_type,AF_level_ppb,AF_level_logppb,Mass_AF,perc_weight,perc_weight2
1,AM-01_A,Accept,3.25,0.51,307.12,61.424,0.61424
2,AM-02_A,Accept,4.08,0.61,308.68,61.736,0.61736
3,AM-03_A,Accept,4.45,0.65,310.15,62.03,0.6203
4,AM-04_A,Accept,5.05,0.70,309.62,61.924,0.61924
5,AM-05_A,Accept,6.43,0.81,314.12,62.824,0.62824
6,AM-06_A,Accept,3.21,0.51,305.01,60.5178571,0.60517857
7,AM-07_A,Accept,6.22,0.79,307.16,61.432,0.61432
8,AM-08_A,Accept,7.21,0.86,301.11,60.222,0.60222
9,AM-09_A,Accept,4.45,0.65,309.56,61.912,0.61912
10,GN-01_A,Accept,5.21,0.72,375.7,75.14,0.7514
11,GN-02_A,Accept,6.75,0.83,294.78,58.956,0.58956
12,GN-03_A,Accept,5.07,0.71,307.78,61.556,0.61556
13,GN-04_A,Accept,4.09,0.61,306.21,61.242,0.61242
14,GN-05_A,Accept,6.21,0.79,309.1,61.82,0.6182
15,GN-06_A,Accept,5.75,0.76,300.6,60.12,0.6012
16,GN-07_A,Accept,6.39,0.81,308.56,61.712,0.61712
17,GN-08_A,Accept,5.21,0.72,315.67,63.134,0.63134
18,GN-09_A,Accept,4.26,0.63,303.34,60.668,0.60668
19,KA-01_A,Accept,2.25,0.35,364.02,72.804,0.72804
20,KA-02_A,Accept,5.26,0.72,309.38,61.876,0.61876
21,KA-03_A,Accept,7.25,0.86,307.77,61.554,0.61554
22,KA-04_A,Accept,5.88,0.77,292.21,58.7947686,0.58794769
23,KA-05_A,Accept,7.35,0.87,305.43,61.086,0.61086
24,KA-06_A,Accept,7.29,0.86,308.69,61.738,0.61738
25,KA-07_A,Accept,5.29,0.72,299.89,59.978,0.59978
26,KA-08_A,Accept,6.78,0.83,307.85,61.57,0.6157
27,KA-09_A,Accept,5.87,0.77,309.5,61.9,0.619
28,FB-01_A,Accept,7.22,0.86,246.58,49.316,0.49316
29,FB-02_A,Accept,8.09,0.91,307.87,61.574,0.61574
30,FB-03_A,Accept,5.24,0.72,304.65,60.93,0.6093
31,FB-04_A,Accept,7.71,0.89,308.43,61.686,0.61686
32,FB-05_A,Accept,10.15,1.01,302.78,60.556,0.60556
33,FB-06_A,Accept,8.26,0.92,321.56,64.312,0.64312
34,FB-07_A,Accept,7.89,0.90,300.85,60.17,0.6017
35,FB-08_A,Accept,8.42,0.93,301.9,60.38,0.6038
36,FB-09_A,Accept,8.25,0.92,306.48,61.296,0.61296
37,MM-01_A,Accept,3.05,0.48,420.44,84.088,0.84088
38,MM-02_A,Accept,8.79,0.94,309.74,61.948,0.61948
39,MM-03_A,Accept,6.28,0.80,307.89,61.578,0.61578
40,MM-04_A,Accept,7.33,0.87,310.56,62.112,0.62112
41,MM-05_A,Accept,8.66,0.94,304.67,60.934,0.60934
42,MM-06_A,Accept,9.05,0.96,306.78,61.356,0.61356
43,MM-07_A,Accept,8.66,0.94,308.67,61.7253584,0.61725358
44,MM-08_A,Accept,7.34,0.87,298.87,59.774,0.59774
45,MM-09_A,Accept,8.08,0.91,306.98,61.396,0.61396
46,AM-01_R,Reject,9.45,0.98,192.88,38.576,0.38576
47,AM-02_R,Reject,12.45,1.10,191.32,38.264,0.38264
48,AM-03_R,Reject,13.5,1.13,189.85,37.97,0.3797
49,AM-04_R,Reject,13.14,1.12,190.38,38.076,0.38076
50,AM-05_R,Reject,9.97,1.00,185.88,37.176,0.37176
51,AM-06_R,Reject,10.24,1.01,198.99,39.4821429,0.39482143
52,AM-07_R,Reject,10.77,1.03,192.84,38.568,0.38568
53,AM-08_R,Reject,13.26,1.12,198.89,39.778,0.39778
54,AM-09_R,Reject,13.25,1.12,190.44,38.088,0.38088
55,GN-01_R,Reject,7.94,0.90,124.3,24.86,0.2486
56,GN-02_R,Reject,14.28,1.15,205.22,41.044,0.41044
57,GN-03_R,Reject,14.56,1.16,192.22,38.444,0.38444
58,GN-04_R,Reject,11.27,1.05,193.79,38.758,0.38758
59,GN-05_R,Reject,12.01,1.08,190.9,38.18,0.3818
60,GN-06_R,Reject,11.45,1.06,199.4,39.88,0.3988
61,GN-07_R,Reject,13.21,1.12,191.44,38.288,0.38288
62,GN-08_R,Reject,12.25,1.09,184.33,36.866,0.36866
63,GN-09_R,Reject,11.24,1.05,196.66,39.332,0.39332
64,KA-01_R,Reject,5.11,0.71,135.98,27.196,0.27196
65,KA-02_R,Reject,10.05,1.00,190.62,38.124,0.38124
66,KA-03_R,Reject,13,1.11,192.23,38.446,0.38446
67,KA-04_R,Reject,12.06,1.08,204.79,41.2052314,0.41205231
68,KA-05_R,Reject,11.49,1.06,194.57,38.914,0.38914
69,KA-06_R,Reject,13.75,1.14,191.31,38.262,0.38262
70,KA-07_R,Reject,14.06,1.15,200.11,40.022,0.40022
71,KA-08_R,Reject,12.35,1.09,192.15,38.43,0.3843
72,KA-09_R,Reject,12.13,1.08,190.5,38.1,0.381
73,FB-01_R,Reject,11.21,1.05,253.42,50.684,0.50684
74,FB-02_R,Reject,12.2,1.09,192.13,38.426,0.38426
75,FB-03_R,Reject,11.24,1.05,195.35,39.07,0.3907
76,FB-04_R,Reject,10.29,1.01,191.57,38.314,0.38314
77,FB-05_R,Reject,9.25,0.97,197.22,39.444,0.39444
78,FB-06_R,Reject,11.24,1.05,178.44,35.688,0.35688
79,FB-07_R,Reject,10.26,1.01,199.15,39.83,0.3983
80,FB-08_R,Reject,10.24,1.01,198.1,39.62,0.3962
81,FB-09_R,Reject,9.45,0.98,193.52,38.704,0.38704
82,MM-01_R,Reject,8.22,0.91,79.56,15.912,0.15912
83,MM-02_R,Reject,15.37,1.19,190.26,38.052,0.38052
84,MM-03_R,Reject,13.33,1.12,192.11,38.422,0.38422
85,MM-04_R,Reject,13.78,1.14,189.44,37.888,0.37888
86,MM-05_R,Reject,14.46,1.16,195.33,39.066,0.39066
87,MM-06_R,Reject,14.45,1.16,193.22,38.644,0.38644
88,MM-07_R,Reject,13.97,1.15,191.4,38.2746416,0.38274642
89,MM-08_R,Reject,12.12,1.08,201.13,40.226,0.40226
90,MM-09_R,Reject,11.36,1.06,193.02,38.604,0.38604
91,AM-01,Calculated Bulk,5.64,0.75,,,
92,AM-02,Calculated Bulk,7.28,0.86,,,
93,AM-03,Calculated Bulk,7.89,0.90,,,
94,AM-04,Calculated Bulk,8.13,0.91,,,
95,AM-05,Calculated Bulk,7.75,0.89,,,
96,AM-06,Calculated Bulk,5.99,0.78,,,
97,AM-07,Calculated Bulk,7.97,0.90,,,
98,AM-08,Calculated Bulk,9.62,0.98,,,
99,AM-09,Calculated Bulk,7.80,0.89,,,
100,GN-01,Calculated Bulk,5.89,0.77,,,
101,GN-02,Calculated Bulk,9.84,0.99,,,
102,GN-03,Calculated Bulk,8.72,0.94,,,
103,GN-04,Calculated Bulk,6.87,0.84,,,
104,GN-05,Calculated Bulk,8.42,0.93,,,
105,GN-06,Calculated Bulk,8.02,0.90,,,
106,GN-07,Calculated Bulk,9.00,0.95,,,
107,GN-08,Calculated Bulk,7.81,0.89,,,
108,GN-09,Calculated Bulk,7.01,0.85,,,
109,KA-01,Calculated Bulk,3.03,0.48,,,
110,KA-02,Calculated Bulk,7.09,0.85,,,
111,KA-03,Calculated Bulk,9.46,0.98,,,
112,KA-04,Calculated Bulk,8.43,0.93,,,
113,KA-05,Calculated Bulk,8.96,0.95,,,
114,KA-06,Calculated Bulk,9.76,0.99,,,
115,KA-07,Calculated Bulk,8.80,0.94,,,
116,KA-08,Calculated Bulk,8.92,0.95,,,
117,KA-09,Calculated Bulk,8.26,0.92,,,
118,FB-01,Calculated Bulk,9.24,0.97,,,
