Sample_ID,Farm_type,AF_ppb_bulk,AF_ppb_accept,AF_ppb_reject,AF_ppb_percent_reject,Diference_accept_reject_AF,Diference_accept_reject_FM,Weight_accept,Weight_reject,Mass_sorted,Accept_mass_perc,perc_accept,Reject_mass_perc,perc_reject,Perc_total,Toxin Accept,Toxin reject,Toxin removed percentage,Difference,Reject Rate (mass) percentage,Fraction_rejected/reject_rate_AF,Calculated bulk (ppb)
AM-01,AM Unity Farms,,3.25,9.45,0.744094488,-6.2,,307.12,192.88,500,0.61424,61.424,0.38576,38.576,100,998.14,1822.716,64.6157053,-6.2,38.576,1.675023468,5.641712
AM-02,AM Unity Farms,,4.08,12.45,0.753176044,-8.37,,308.68,191.32,500,0.61736,61.736,0.38264,38.264,100,1259.4144,2381.934,65.4135155,-8.37,38.264,1.709531557,7.2826968
AM-03,AM Unity Farms,,4.45,13.5,0.752089136,-9.05,,310.15,189.85,500,0.6203,62.03,0.3797,37.97,100,1380.1675,2562.975,64.998285,-9.05,37.97,1.711832631,7.886285
AM-04,AM Unity Farms,,5.05,13.14,0.722374931,-8.09,,309.62,190.38,500,0.61924,61.924,0.38076,38.076,100,1563.581,2501.5932,61.53717103,-8.09,38.076,1.616166904,8.1303484
AM-05,AM Unity Farms,,6.43,9.97,0.607926829,-3.54,,314.12,185.88,500,0.62824,62.824,0.37176,37.176,100,2019.7916,1853.2236,47.84963405,-3.54,37.176,1.287110879,7.7460304
AM-06,AM Unity Farms,,3.21,10.24,0.76133829,-7.03,,305.01,198.99,504,0.605178571,60.51785714,0.394821429,39.48214286,100,979.0821,2037.6576,67.54502551,-7.03,39.48214286,1.710774052,5.985594643
AM-07,AM Unity Farms,,6.22,10.77,0.633902295,-4.55,,307.16,192.84,500,0.61432,61.432,0.38568,38.568,100,1910.5352,2076.8868,52.08595428,-4.55,38.568,1.350496637,7.974844
AM-08,AM Unity Farms,,7.21,13.26,0.647777235,-6.05,,301.11,198.89,500,0.60222,60.222,0.39778,39.778,100,2171.0031,2637.2814,54.84869708,-6.05,39.778,1.378870156,9.616569
AM-09,AM Unity Farms,,4.45,13.25,0.748587571,-8.8,,309.56,190.44,500,0.61912,61.912,0.38088,38.088,100,1377.542,2523.33,64.68630604,-8.8,38.088,1.698338218,7.801744
GN-01,Gye Nyame Farms,,5.21,7.94,0.603802281,-2.73,,375.7,124.3,500,0.7514,75.14,0.2486,24.86,100,1957.397,986.942,33.5199853,-2.73,24.86,1.348350173,5.888678
GN-02,Gye Nyame Farms,,6.75,14.28,0.679029957,-7.53,,294.78,205.22,500,0.58956,58.956,0.41044,41.044,100,1989.765,2930.5416,59.56014204,-7.53,41.044,1.451129082,9.8406132
