Sample_ID,accept,reject
AM-01,0.511883361,0.975431809
AM-02,0.610660163,1.095169351
AM-03,0.648360011,1.130333768
AM-04,0.703291378,1.118595365
AM-05,0.808210973,0.998695158
AM-06,0.506505032,1.010299957
AM-07,0.793790385,1.032215703
AM-08,0.857935265,1.122543524
AM-09,0.648360011,1.122215878
GN-01,0.716837723,0.899820502
GN-02,0.829303773,1.154728207
GN-03,0.705007959,1.163161375
GN-04,0.611723308,1.051923916
GN-05,0.7930916,1.079543007
GN-06,0.759667845,1.058805487
GN-07,0.805500858,1.120902818
GN-08,0.716837723,1.088136089
GN-09,0.629409599,1.050766311
KA-01,0.352182518,0.7084209
KA-02,0.720985744,1.002166062
KA-03,0.860338007,1.113943352
KA-04,0.769377326,1.081347308
KA-05,0.866287339,1.060320029
KA-06,0.862727528,1.138302698
KA-07,0.723455672,1.147985321
KA-08,0.831229694,1.091666958
KA-09,0.768638101,1.083860801
FB-01,0.858537198,1.049605613
FB-02,0.907948522,1.086359831
FB-03,0.719331287,1.050766311
FB-04,0.887054378,1.012415375
FB-05,1.006466042,0.966141733
FB-06,0.916980047,1.050766311
FB-07,0.897077003,1.011147361
FB-08,0.925312091,1.010299957
FB-09,0.916453949,0.975431809
MM-01,0.484299839,0.914871818
MM-02,0.943988875,1.186673867
MM-03,0.797959644,1.124830149
MM-04,0.865103975,1.139249218
MM-05,0.937517892,1.160168293
MM-06,0.956648579,1.159867847
MM-07,0.937517892,1.145196406
MM-08,0.86569606,1.08350262
MM-09,0.907411361,1.055378331
