,Sample ID,Sample_type,AF_level_ppb,AF_level_logppb,Mass_AF,Count_type,
1,AM-01_A,Accept,3.25,0.51,307.12,Ghana,
2,AM-02_A,Accept,4.08,0.61,308.68,Ghana,
3,AM-03_A,Accept,4.45,0.65,310.15,Ghana,
4,AM-04_A,Accept,5.05,0.70,309.62,Ghana,
5,AM-05_A,Accept,6.43,0.81,314.12,Ghana,
6,AM-06_A,Accept,3.21,0.51,305.01,Ghana,
7,AM-07_A,Accept,6.22,0.79,307.16,Ghana,
8,AM-08_A,Accept,7.21,0.86,301.11,Ghana,
9,AM-09_A,Accept,4.45,0.65,309.56,Ghana,
10,GN-01_A,Accept,5.21,0.72,375.7,Ghana,
11,GN-02_A,Accept,6.75,0.83,294.78,Ghana,
12,GN-03_A,Accept,5.07,0.71,307.78,Ghana,
13,GN-04_A,Accept,4.09,0.61,306.21,Ghana,
14,GN-05_A,Accept,6.21,0.79,309.1,Ghana,
15,GN-06_A,Accept,5.75,0.76,300.6,Ghana,
16,GN-07_A,Accept,6.39,0.81,308.56,Ghana,
17,GN-08_A,Accept,5.21,0.72,315.67,Ghana,
18,GN-09_A,Accept,4.26,0.63,303.34,Ghana,
19,KA-01_A,Accept,2.25,0.35,364.02,Ghana,
20,KA-02_A,Accept,5.26,0.72,309.38,Ghana,
21,KA-03_A,Accept,7.25,0.86,307.77,Ghana,
22,KA-04_A,Accept,5.88,0.77,292.21,Ghana,
23,KA-05_A,Accept,7.35,0.87,305.43,Ghana,
24,KA-06_A,Accept,7.29,0.86,308.69,Ghana,
25,KA-07_A,Accept,5.29,0.72,299.89,Ghana,
26,KA-08_A,Accept,6.78,0.83,307.85,Ghana,
27,KA-09_A,Accept,5.87,0.77,309.5,Ghana,
28,FB-01_A,Accept,7.22,0.86,246.58,Ghana,
29,FB-02_A,Accept,8.09,0.91,307.87,Ghana,
30,FB-03_A,Accept,5.24,0.72,304.65,Ghana,
31,FB-04_A,Accept,7.71,0.89,308.43,Ghana,
32,FB-05_A,Accept,10.15,1.01,302.78,Ghana,
33,FB-06_A,Accept,8.26,0.92,321.56,Ghana,
34,FB-07_A,Accept,7.89,0.90,300.85,Ghana,
35,FB-08_A,Accept,8.42,0.93,301.9,Ghana,
36,FB-09_A,Accept,8.25,0.92,306.48,Ghana,
37,MM-01_A,Accept,3.05,0.48,420.44,Ghana,
38,MM-02_A,Accept,8.79,0.94,309.74,Ghana,
39,MM-03_A,Accept,6.28,0.80,307.89,Ghana,
40,MM-04_A,Accept,7.33,0.87,310.56,Ghana,
