,Sample ID,Sample_type,AF_level_ppb,AF_level_logppb,Mass_AF,perc_weight,perc_weight2,Count_type
1,AM-01_R,Mass,9.45,0.975431809,192.88,38.576,0.38576,Ghana
2,AM-02_R,Mass,12.45,1.095169351,191.32,38.264,0.38264,Ghana
3,AM-03_R,Mass,13.5,1.130333768,189.85,37.97,0.3797,Ghana
4,AM-04_R,Mass,13.14,1.118595365,190.38,38.076,0.38076,Ghana
5,AM-05_R,Mass,9.97,0.998695158,185.88,37.176,0.37176,Ghana
6,AM-06_R,Mass,10.24,1.010299957,198.99,39.4821429,0.39482143,Ghana
7,AM-07_R,Mass,10.77,1.032215703,192.84,38.568,0.38568,Ghana
8,AM-08_R,Mass,13.26,1.122543524,198.89,39.778,0.39778,Ghana
9,AM-09_R,Mass,13.25,1.122215878,190.44,38.088,0.38088,Ghana
10,GN-01_R,Mass,7.94,0.899820502,124.3,24.86,0.2486,Ghana
11,GN-02_R,Mass,14.28,1.154728207,205.22,41.044,0.41044,Ghana
12,GN-03_R,Mass,14.56,1.163161375,192.22,38.444,0.38444,Ghana
13,GN-04_R,Mass,11.27,1.051923916,193.79,38.758,0.38758,Ghana
14,GN-05_R,Mass,12.01,1.079543007,190.9,38.18,0.3818,Ghana
15,GN-06_R,Mass,11.45,1.058805487,199.4,39.88,0.3988,Ghana
16,GN-07_R,Mass,13.21,1.120902818,191.44,38.288,0.38288,Ghana
17,GN-08_R,Mass,12.25,1.088136089,184.33,36.866,0.36866,Ghana
18,GN-09_R,Mass,11.24,1.050766311,196.66,39.332,0.39332,Ghana
19,KA-01_R,Mass,5.11,0.7084209,135.98,27.196,0.27196,Ghana
20,KA-02_R,Mass,10.05,1.002166062,190.62,38.124,0.38124,Ghana
21,KA-03_R,Mass,13,1.113943352,192.23,38.446,0.38446,Ghana
22,KA-04_R,Mass,12.06,1.081347308,204.79,41.2052314,0.41205231,Ghana
23,KA-05_R,Mass,11.49,1.060320029,194.57,38.914,0.38914,Ghana
24,KA-06_R,Mass,13.75,1.138302698,191.31,38.262,0.38262,Ghana
25,KA-07_R,Mass,14.06,1.147985321,200.11,40.022,0.40022,Ghana
26,KA-08_R,Mass,12.35,1.091666958,192.15,38.43,0.3843,Ghana
27,KA-09_R,Mass,12.13,1.083860801,190.5,38.1,0.381,Ghana
28,FB-01_R,Mass,11.21,1.049605613,253.42,50.684,0.50684,Ghana
29,FB-02_R,Mass,12.2,1.086359831,192.13,38.426,0.38426,Ghana
30,FB-03_R,Mass,11.24,1.050766311,195.35,39.07,0.3907,Ghana
31,FB-04_R,Mass,10.29,1.012415375,191.57,38.314,0.38314,Ghana
32,FB-05_R,Mass,9.25,0.966141733,197.22,39.444,0.39444,Ghana
33,FB-06_R,Mass,11.24,1.050766311,178.44,35.688,0.35688,Ghana
34,FB-07_R,Mass,10.26,1.011147361,199.15,39.83,0.3983,Ghana
35,FB-08_R,Mass,10.24,1.010299957,198.1,39.62,0.3962,Ghana
36,FB-09_R,Mass,9.45,0.975431809,193.52,38.704,0.38704,Ghana
37,MM-01_R,Mass,8.22,0.914871818,79.56,15.912,0.15912,Ghana
38,MM-02_R,Mass,15.37,1.186673867,190.26,38.052,0.38052,Ghana
39,MM-03_R,Mass,13.33,1.124830149,192.11,38.422,0.38422,Ghana
40,MM-04_R,Mass,13.78,1.139249218,189.44,37.888,0.37888,Ghana
41,MM-05_R,Mass,14.46,1.160168293,195.33,39.066,0.39066,Ghana
42,MM-06_R,Mass,14.45,1.159867847,193.22,38.644,0.38644,Ghana
43,MM-07_R,Mass,13.97,1.145196406,191.4,38.2746416,0.38274642,Ghana
44,MM-08_R,Mass,12.12,1.08350262,201.13,40.226,0.40226,Ghana
45,MM-09_R,Mass,11.36,1.055378331,193.02,38.604,0.38604,Ghana
46,AM-01_R,Aflatoxin,,,,,0.744094488,Ghana
47,AM-02_R,Aflatoxin,,,,,0.753176044,Ghana
48,AM-03_R,Aflatoxin,,,,,0.752089136,Ghana
49,AM-04_R,Aflatoxin,,,,,0.722374931,Ghana
50,AM-05_R,Aflatoxin,,,,,0.607926829,Ghana
51,AM-06_R,Aflatoxin,,,,,0.76133829,Ghana
52,AM-07_R,Aflatoxin,,,,,0.633902295,Ghana
53,AM-08_R,Aflatoxin,,,,,0.647777235,Ghana
54,AM-09_R,Aflatoxin,,,,,0.748587571,Ghana
55,GN-01_R,Aflatoxin,,,,,0.603802281,Ghana
56,GN-02_R,Aflatoxin,,,,,0.679029957,Ghana
57,GN-03_R,Aflatoxin,,,,,0.741721854,Ghana
58,GN-04_R,Aflatoxin,,,,,0.733723958,Ghana
59,GN-05_R,Aflatoxin,,,,,0.659165752,Ghana
60,GN-06_R,Aflatoxin,,,,,0.665697674,Ghana
61,GN-07_R,Aflatoxin,,,,,0.673979592,Ghana
62,GN-08_R,Aflatoxin,,,,,0.701603666,Ghana
63,GN-09_R,Aflatoxin,,,,,0.72516129,Ghana
64,KA-01_R,Aflatoxin,,,,,0.694293478,Ghana
65,KA-02_R,Aflatoxin,,,,,0.656433703,Ghana
66,KA-03_R,Aflatoxin,,,,,0.641975309,Ghana
67,KA-04_R,Aflatoxin,,,,,0.672240803,Ghana
68,KA-05_R,Aflatoxin,,,,,0.609872611,Ghana
69,KA-06_R,Aflatoxin,,,,,0.65351711,Ghana
70,KA-07_R,Aflatoxin,,,,,0.726614987,Ghana
71,KA-08_R,Aflatoxin,,,,,0.645582854,Ghana
72,KA-09_R,Aflatoxin,,,,,0.673888889,Ghana
73,FB-01_R,Aflatoxin,,,,,0.608247423,Ghana
74,FB-02_R,Aflatoxin,,,,,0.601281419,Ghana
75,FB-03_R,Aflatoxin,,,,,0.682038835,Ghana
76,FB-04_R,Aflatoxin,,,,,0.571666667,Ghana
77,FB-05_R,Aflatoxin,,,,,0.476804124,Ghana
